,City,Country,lat,lon,humidity,max temp,wind speed,cloudiness
172,oeiras,br,-7.01,-42.13,52,30.69,1.31,48
176,clyde river,ca,70.47,-68.59,84,-14,1,90
179,harper,lr,30.3,-99.24,77,18,5.7,90
182,kruisfontein,za,-34,24.73,89,13.94,5.36,20
183,butaritari,ki,3.07,172.79,100,28.66,1.21,48
184,nicoya,cr,10.15,-85.45,66,30,8.2,40
186,mitsamiouli,km,-11.38,43.28,78,25,3.6,20
187,humberto de campos,br,-2.6,-43.46,88,27.44,6.26,0
188,hamilton,bm,32.3,-64.78,64,24,5.7,75
189,along,in,28.17,94.8,67,16.11,0.86,76
190,pisco,pe,-13.71,-76.2,72,20,4.6,20
191,husavik,is,50.56,-96.99,86,2.51,2.86,8
193,cayenne,gf,4.94,-52.33,66,30,5.1,0
194,lompoc,us,34.64,-120.46,28,32,6.7,1
197,kununurra,au,-15.77,128.74,74,27,1.31,75
198,beloha,mg,-25.17,45.06,88,14.34,1.01,0
199,wlodawa,pl,51.55,23.55,82,6.59,1.41,88
200,broome,au,52.47,1.45,87,13,2.1,0
201,san patricio,mx,-26.98,-56.83,68,26.49,2.11,0
203,severobaykalsk,ru,55.65,109.32,87,-2.37,1.21,88
204,faanui,pf,-16.48,-151.75,100,25.41,2.51,76
207,harare,zw,-17.83,31.05,79,17.09,4.91,56
209,mingshui,cn,22.81,109.89,98,21.19,1.51,76
212,port elizabeth,za,39.31,-74.98,63,18,5.1,20
214,mahebourg,mu,-20.41,57.7,94,22,3.1,40
215,jinji,cn,22.16,112.49,92,22.11,2.56,92
217,tasiilaq,gl,65.61,-37.64,97,1,3.6,64
218,san ignacio,pe,-36.8,-72.03,37,19,3.1,20
224,hambantota,lk,6.12,81.12,100,26.76,4.11,68
225,touros,br,-5.2,-35.46,81,26.14,5.41,0
227,dusti,tj,37.35,68.68,88,6.54,1.41,0
230,cabo san lucas,mx,22.89,-109.91,65,30,1.21,20
231,khilok,ru,51.36,110.46,90,-1.77,2.31,80
232,myaundzha,ru,63.05,147.18,44,-27.09,1.16,44
234,krapivinskiy,ru,55,86.81,92,-3,3,0
236,arraial do cabo,br,-22.97,-42.02,53,24,2.6,40
237,hofn,is,64.25,-15.21,98,6.66,17.66,24
239,iquique,cl,-20.22,-70.14,68,18,7.2,90
244,harrison,us,39.26,-84.82,50,17,10.3,40
249,namibe,ao,-15.19,12.15,100,21.89,3.01,12
250,chokurdakh,ru,70.62,147.9,83,-10.34,5.06,56
253,taltal,cl,-25.41,-70.49,70,19.01,1.66,48
256,morro bay,us,35.37,-120.85,23,32,3.6,1
257,ranong,th,9.96,98.62,100,25.26,3.71,92
258,saint-philippe,re,45.36,-73.48,54,14,7.2,1
259,nurota,uz,40.56,65.69,43,10,5.1,0
260,kissidougou,gn,9.19,-10.1,92,21.51,1.86,56
261,pangody,ru,65.85,74.49,89,-5.67,6.91,80
262,ilulissat,gl,69.22,-51.1,52,-8,7.7,36
263,biak,id,-0.91,122.88,100,24.76,1.41,80
264,pangnirtung,ca,66.15,-65.72,100,-7.72,2.41,56
266,khash,ir,28.22,61.21,50,11.11,0.91,44
269,ahipara,nz,-35.17,173.16,74,17.76,1.61,0
273,qasigiannguit,gl,68.82,-51.19,52,-8,7.7,36
275,gushikawa,jp,26.35,127.87,82,22,2.1,1
278,simplicio mendes,br,-7.85,-41.91,70,27.84,1.56,8
280,bredasdorp,za,-34.53,20.04,62,15,7.7,0
281,wencheng,cn,27.79,120.09,99,8.76,0.86,0
283,westport,nz,53.8,-9.52,98,13.89,5.71,88
285,adrar,dz,27.87,-0.29,19,27,2.1,0
287,tiksi,ru,71.64,128.87,80,-9.37,4.01,48
289,ingham,au,-18.65,146.16,100,24.01,1.26,48
290,lavrentiya,ru,65.58,-170.99,100,3.61,6.36,12
291,roald,no,62.58,6.12,71,12,8.2,75
294,bethel,us,60.79,-161.76,100,-1,2.6,40
296,acapulco,mx,16.86,-99.88,74,29,4.6,75
298,pilar,ph,-34.46,-58.91,63,17,5.7,0
302,lumberton,us,30.27,-94.2,88,23,4.1,90
303,tokmak,kg,47.26,35.7,85,8.61,1.36,44
307,tucuru,gt,15.3,-90.07,91,23.79,1.11,80
310,kokorevka,ru,52.59,34.27,85,3.69,3.91,0
312,shakawe,bw,-18.36,21.84,27,25.29,3.71,24
314,srivardhan,in,18.03,73.02,95,24.51,1.81,24
316,muscle shoals,us,34.75,-87.67,77,19,3.6,20
318,opuwo,na,-18.06,13.84,27,21.16,2.76,0
322,fortuna,us,38.18,-1.13,78,22,6.7,0
323,omsukchan,ru,62.53,155.8,91,-10.97,1.41,88
326,gayeri,bf,12.65,0.49,42,25.89,1.96,12
328,fethiye,tr,36.62,29.12,88,17,2.6,0
330,grand gaube,mu,-20.01,57.66,94,22,3.1,40
334,abalak,ne,15.46,6.28,28,24.49,3.06,0
336,boundiali,ci,9.53,-6.48,96,21.69,1.96,20
339,norman wells,ca,65.28,-126.83,86,-1,7.2,75
344,victoria,sc,5.28,115.24,88,26,1.06,75
345,wana,pk,32.31,69.59,82,0.49,1.26,0
346,ambilobe,mg,-13.19,49.05,91,20.74,1.56,20
347,provideniya,ru,64.42,-173.23,100,2.89,4.21,48
349,guerrero negro,mx,27.97,-114.04,47,28.14,2.56,0
350,dikson,ru,73.51,80.55,100,-1.74,6.51,12
351,geraldton,au,49.72,-86.95,63,-1,4.1,90
355,malanje,ao,-9.54,16.35,94,19.79,0.46,44
358,houma,us,35.63,111.36,62,7.49,1.16,80
360,manzhouli,cn,49.6,117.43,92,2.24,1.36,68
361,rawson,ar,-43.3,-65.11,59,16.94,8.66,8
363,manchester,us,53.48,-2.24,93,14,1.5,20
364,kurumkan,ru,54.33,110.32,95,-2.32,0.76,88
372,poya,nc,-21.35,165.16,100,22.44,4.46,76
373,genhe,cn,50.78,121.52,73,0.19,2.26,8
376,conde,br,-11.81,-37.61,79,27.01,5.36,0
379,cao bang,vn,22.67,106.25,99,20.39,1.21,76
384,ancud,cl,-41.87,-73.83,76,11.26,5.06,76
385,upernavik,gl,72.79,-56.15,100,-5.82,5.31,68
388,luderitz,na,-26.65,15.16,77,16,4.1,0
389,san carlos de bariloche,ar,-41.13,-71.31,37,12,8.7,40
391,metes,ro,46.1,23.42,87,14,1,20
401,ponta delgada,pt,37.73,-25.67,88,19,6.7,75
406,sampit,id,-2.54,112.95,99,21.91,2.41,92
407,uarini,br,-2.98,-65.16,74,30,1.31,40
408,canala,nc,-21.52,165.96,73,24,1,40
409,la rioja,ar,-29.41,-66.86,83,21.69,2.31,92
410,aksarka,ru,66.56,67.8,86,-5.12,5.06,76
413,mar del plata,ar,-46.43,-67.52,37,18.54,7.36,12
416,berlevag,no,70.86,29.09,100,0.11,2.11,88
417,bambous virieux,mu,-20.34,57.76,94,22,3.1,40
420,lata,sb,30.78,78.62,66,4.09,1.16,0
421,tilichiki,ru,60.47,166.1,83,-10.57,1.26,0
422,coahuayana,mx,18.62,-100.35,69,26.61,1.31,8
424,krutinka,ru,56.01,71.51,96,5.19,2.36,92
432,aketi,cd,2.74,23.78,71,25.64,1.26,8
439,najran,sa,17.54,44.22,93,19,1.5,40
440,eyl,so,7.98,49.82,100,24.74,2.96,92
442,deputatskiy,ru,69.3,139.9,52,-20.57,2.56,8
443,dawlatabad,af,36.41,64.91,72,2.64,1.16,0
446,soma,tr,37.8,140.92,93,7,1.5,20
450,gornopravdinsk,ru,60.06,69.92,100,1.86,2.36,92
455,jamestown,sh,-33.21,138.6,80,4.39,1.56,0
456,tomari,ru,47.76,142.06,99,5.76,4.81,0
461,nimes,fr,43.83,4.35,67,17,3.6,0
462,severo-kurilsk,ru,50.68,156.12,100,2.86,1.31,20
464,rio claro,tt,-22.41,-47.56,41,26,5.7,0
466,ossora,ru,59.24,163.07,100,0.14,2.11,64
467,chuy,uy,-33.69,-53.46,79,15.84,4.71,0
473,constitucion,mx,23.99,-104.67,60,20,2.1,90
480,te anau,nz,-45.41,167.72,81,13.49,1.86,0
483,pombas,cv,-15.9,-54.74,80,28.54,1.31,32
486,djambala,cg,-2.55,14.76,95,22.04,1.61,12
487,kotido,ug,3.01,34.12,88,17.49,3.51,0
488,dongning,cn,44.06,131.12,71,-0.99,1.41,0
492,yuli,tw,10.52,9.86,41,23.36,1.86,0
496,plastun,ru,44.76,136.29,57,5.11,1.96,0
502,khatanga,ru,71.98,102.47,92,-14.67,3.21,76
504,araouane,ml,18.9,-3.53,21,30.26,5.26,88
505,kaitangata,nz,-46.28,169.85,92,15.36,1.81,80
506,oranjemund,na,-28.55,16.43,70,19.39,9.91,0
507,fort nelson,ca,58.81,-122.69,32,13,3.6,40
508,oktyabrskoye,ru,56.73,85.44,82,-1.42,2.91,20
510,bilma,ne,18.69,12.92,27,22.26,1.26,0
515,oulainen,fi,64.27,24.8,97,3.26,2.41,0
517,katsuura,jp,33.93,134.5,94,13.14,4.01,0
529,souillac,mu,45.6,-0.6,72,16,2.1,0
531,pevek,ru,69.7,170.27,100,-3.77,4.66,92
532,ishigaki,jp,24.34,124.16,100,23.49,5.36,76
534,quatre cocos,mu,-20.21,57.76,94,22,3.1,40
535,darnah,ly,32.77,22.64,97,24.51,4.56,0
536,abbeville,fr,50.11,1.83,100,8,1,20
538,vikulovo,ru,55.07,40.96,82,-0.84,1.31,0
540,dolores,ar,-33.53,-58.22,42,21.99,5.71,48
541,hue,vn,16.47,107.58,100,24,1,40
546,hanmer springs,nz,-42.52,172.83,55,14.64,1.41,8
566,eureka,us,40.8,-124.16,93,15,2.1,75
571,mbeya,tz,-8.91,33.47,88,15.49,2.51,20
572,hay river,ca,60.82,-115.79,35,13,7.2,75
574,russell,nz,-33.01,-68.8,68,18,1.5,40
575,los llanos de aridane,es,28.66,-17.92,68,22,2.1,75
576,afsin,tr,38.25,36.91,91,5.49,1.16,36
579,kenscoff,ht,18.45,-72.29,58,31,5.1,20
580,durango,mx,37.28,-107.88,25,21,3.1,1
584,stromness,gb,42.87,-79.55,100,11,7.16,90
585,koutiala,ml,12.39,-5.46,80,25.29,2.16,76
586,krasnyy yar,ru,50.7,44.73,85,5.51,1.86,0
587,santiago,cl,-33.44,-70.65,25,24,3.1,0
589,isangel,vu,-19.55,169.27,100,23.09,10.61,100
590,ortigueira,br,43.68,-7.85,82,16,7.76,0
592,goderich,sl,43.74,-81.71,100,5.69,5.36,92
595,bodden town,ky,19.28,-81.25,74,30,6.7,40
603,bandarbeyla,so,9.49,50.81,100,24.29,2.76,100
607,gaoual,gn,11.75,-13.2,83,26.16,1.66,36
611,hualmay,pe,-11.1,-77.61,69,20.16,2.41,20
